item,Rating,about,best,image,package
Aurangabad,3.3,"Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th cent...",October to March,https://th.bing.com/th/id/OIP.tyK9bTesPKruy4ZWcatdZgHaE0?w=286&h=185&c=7&r=0&o=5&pid=1.7,1212
Jammu,3.6,"Jammu is the southernmost-part of the union territory of Jammu and Kashmir which sits proudly on the magnificent Shivalik mountain ranges. The Winter Capital of Kashmir, Jammu is a holy and peaceful city known for its majestic temples, religious shrines, glittering ""shikhars"", and cultural heritage....",September to March,https://th.bing.com/th/id/OIP.ZJCAY88qAWilcmd7cVQteAHaEK?w=264&h=180&c=7&r=0&o=5&pid=1.7,3232
Dehradun,3.3,"Nestled amidst the Doon Valley in the state of Uttarakhand, Dehradun city is a very popular hill station that beckons solo travellers, families and couples alike. Winter Capital of Uttarakhand, it proudly boasts of a scenic backdrop of the Garhwal Himalayas. Dehradun is located at an altitude of 140...",Throughout the year,https://th.bing.com/th/id/OIP.aO18CJIqnoim2YvoqMK2-AHaEA?w=332&h=180&c=7&r=0&o=5&pid=1.7,2334
Puri,4,Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip.,July to March,https://th.bing.com/th/id/OIP.kw7yHApsIRZdrSYjTD5LPwHaEG?w=280&h=180&c=7&r=0&o=5&pid=1.7,1232
Cherrapunji,4,"Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest pla...",September to May,https://th.bing.com/th/id/OIP.l_-Ir2-YUzkRSXtaFdUqywHaE8?w=286&h=191&c=7&r=0&o=5&pid=1.7,1231
Bikaner,3.6,"Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, it...",October to March,https://th.bing.com/th/id/OIP.b-mk-RvLb-w41OlCrMA2RwHaDl?w=313&h=169&c=7&r=0&o=5&pid=1.7,1312
Shimoga (Shivamogga),3.3,"With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted....",July to December,https://th.bing.com/th/id/OIP.BD0wZKpQd5EjwSOgfVSwSAHaEK?w=297&h=183&c=7&r=0&o=5&pid=1.7,3543
Hogenakkal,3.6,"Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, o...",October to March,https://th.bing.com/th/id/OIP.-qYv8dCeUoIzEjbhyIBOvAHaE8?w=259&h=180&c=7&r=0&o=5&pid=1.7,3445
Gir National Park,3.8,"Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spo...",July to March,https://th.bing.com/th/id/OIP.Wc1sqXu41xyyz1ZglqIkHgHaED?w=306&h=180&c=7&r=0&o=5&pid=1.7,2435
Kasauli,3.7,"Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town which makes for an ideal peaceful holiday location, especially for a weekend getaway.",Throughout the year,https://th.bing.com/th/id/OIP.D5nkux9ohBtGSWvuqqbUnwHaD4?w=297&h=180&c=7&r=0&o=5&pid=1.7,2464
Pushkar,3.6,"Pushkar, a small temple town, is located around 15 km from Ajmer in Rajasthan. Every November, Pushkar is host to the Pushkar Mela, one of the biggest camel fairs in the country. Perfect choice for a weekend getaway from Jaipur, Pushkar is located amid Aravali ranges. Known for the world's only dedi...",October to March,https://th.bing.com/th/id/OIP.C421J27x6MD0Aus1XUmovwHaE9?w=229&h=180&c=7&r=0&o=5&pid=1.7,3435
Chittorgarh,3.6,"The capital of the erstwhile kingdom of Mewar, Chittorgarh is a land of forts, citadels, ruins, and immortal folklore of sacrifice and heroism. Located in South-Eastern Rajasthan, Chittorgarh is known for Chittorgarh Fort, the largest fort in India built on a hilltop, spreading over an area of aroun...",October to March,https://th.bing.com/th/id/OIP.-J1zVMSW7OaA7Ol6-qVG-gHaFl?w=248&h=187&c=7&r=0&o=5&pid=1.7,2335
Nahan,3.6,"Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination.",April to September,https://th.bing.com/th/id/OIP.dy1Q1VGf7-0Ws1S96-rgEQHaDY?w=328&h=160&c=7&r=0&o=5&pid=1.7,4344
