item,Rating,about,best,image,package
Karimunjawa Islands,NaN,"An archipelago that consists of 27 islands that form a marine park, of which only 5 are inhabited by people, the Karimunjawa Islands are the archetypal castaway island paradise. A burgeoning tourism industry is beginning to take hold of these islands fringed by pearly white sandy beaches, and is qui...",October-January,https://www.backpackinglikeaboss.com/wp-content/uploads/2017/11/IMG_1970-e1510396404270.jpg,1212
Wakatobi Islands,NaN,"An island group that consists of 4 islands that are situated to the southeast of Sulawesi, Wakatobi is fast gaining a reputation for being amongst the world’s premier destinations for diving and snorkelling. Its pristine beaches, unspoilt marine ecosystem that contains the second largest coral reef ...",March to November,https://scubadiverlife.com/wp-content/uploads/sites/1/nggallery/wakatobi-1/01_Wakatobi_island-and-surrounding-Didi-Lotze.jpg,3232
Tanjung Aan Beach,NaN,"A rugged trail road leading from Kuta (not to be confused with Kuta, Bali) in Lombok leads to one of the beaches in Lombok that is still fairly off the beaten tourist trail. The beach’s iconic swings dot the sandy white coastline and is a favourite amongst surfers and beach bums. The turquoise water...",April and May,https://i2.wp.com/www.anianywhere.com/wp-content/uploads/2015/07/nacpancalitang-1024x768.jpg?resize=600%2C450,2334
Pulau Biak,NaN,"Located in the Cenderawasih Bay in the Papua province, Pulau Biak or Biak Island is home to many corals, atolls and reefs. The largest island in the Biak-Numfor archipelago, it is a haven for diving and snorkelling enthusiasts. With a tropical climate throughout the year, the water temperature is ex...",June to August,https://limakaki.com/wp-content/uploads/2016/12/taman-nasional-teluk-cendrawasih-3.jpeg,1231
Bali,4.7,"Bali, Indonesia’s most famous island, is located to the west of Java in the Lesser Sunda Islands. It is world-renowned for its scenic rice terraces, fragrant cuisine, stunning beaches and a galore of culture and tradition. With its elaborate temples, endl...","April, May, June and September",https://thumbs.dreamstime.com/b/pura-ulun-danu-beratan-temple-bali-island-indonesia-pura-ulun-danu-beratan-temple-bali-island-113729731.jpg,1312
Yogyakarta,3.4,"Located in Central Java, Yogyakarta, or Jogjakarta, is one of Indonesia’s most important cultural, intellectual, and literary hubs, and is the beating heart of Indonesian tradition. A short flight away from the capital Jakarta, Jogja or Yogya, as it is often abbreviated to, is easily accessible from...",July to September,https://th.bing.com/th/id/R.683e7a4875fb9561889c719b0132c30b?rik=0kpPPPv0uq2v6g&riu=http%3a%2f%2fpin2map.com%2fwp-content%2fuploads%2f2018%2f03%2fIMG_4476_7_8_tonemapped2-e1523320040456.jpg&ehk=zTWu8dPL41z8lStQv%2b9%2bSQHW2VFDY9frIBCPxsXNELo%3d&risl=&pid=ImgRaw&r=0,3543
Gili Trawangan,4.5,"Located just off the northeastern coast of Lombok and to Bali' west, Gili Trawangan is a part of the Gili Island archipelago comprising Gili Trawangan, Gili Meno, and Gili Air and more than 20 other smaller islands. It is also the most developed and tourist-friendly among them. The largest of the Gi...",June to October,https://th.bing.com/th/id/R.bf118e6e808d04209e209a6110a490b9?rik=V%2fF0yi%2bJg1%2bXSw&riu=http%3a%2f%2fwww.balitourismboard.org%2fwp-content%2fuploads%2f2013%2f01%2fgili-trawangan-photo.jpg&ehk=1Cm22Z3bBGnVtudH5puuR408bMW5LVr%2fF5T4VGN7eqQ%3d&risl=&pid=ImgRaw&r=0,3445
Gili Air Island,4,"Gili Air, which is among the three Gili Islands in Indonesia, is the island closest to Lombok and offers the best of both worlds - be it peaceful travelling or party hopping. From temples to waterfalls, to beachside shacks, to secluded surf spots, along with cosy cafes and nightlife hubs, the y...",June to September,https://th.bing.com/th/id/OIP.6Z-W0i_5NEfxAW0RprFsGQHaE8?pid=ImgDet&rs=1,2435
Nusa Penida,3.8,"The hidden treasure of Indonesia, Nusa Penida is the most exotic of the three Nusa Islands and is relatively less travelled. Located in the Klungkung district, it is a little off the shores of Bali. During this season, the island is relatively dry and is fairly suited for activities like snorkelling...",May to September,https://www.anywhere.com/img-a/indonesia/destinations/nusa-penida/nusapenida.jpg,2464
Komodo Island,4,"Komodo Island has been named as one of the new seven natural wonders of the world. Komodo Island, along with Rinca and the other islands that comprise Komodo National Park, is one of the only few places in the world where one finds Komodo dragons out of captivity. Apart from this, the island is also...",March to November,https://th.bing.com/th/id/OIP.cH5yvEmqBuKPxMmWkKPcHQHaE7?pid=ImgDet&rs=1,3435
